cols,importance,model_name
store_船橋店,0.0,GradientBoostingClassifier
store_若葉店,0.0,GradientBoostingClassifier
store_茂原店,0.0,GradientBoostingClassifier
store_松戸店,0.0,GradientBoostingClassifier
store_調布店,0.0,GradientBoostingClassifier
store_荒川店,0.0,GradientBoostingClassifier
store_荻窪店,0.0,GradientBoostingClassifier
store_葛飾店,0.0,GradientBoostingClassifier
store_藤沢店,0.0,GradientBoostingClassifier
store_行田店,0.0,GradientBoostingClassifier
store_西多摩店,0.0,GradientBoostingClassifier
store_西東京店,0.0,GradientBoostingClassifier
store_西葛西店,0.0,GradientBoostingClassifier
store_板橋店,0.0,GradientBoostingClassifier
store_日本橋店,0.0,GradientBoostingClassifier
store_東松山店,0.0,GradientBoostingClassifier
store_八千代店,0.0,GradientBoostingClassifier
store_六本木店,0.0,GradientBoostingClassifier
store_前橋店,0.0,GradientBoostingClassifier
store_千葉中央店,0.0,GradientBoostingClassifier
store_千葉緑店,0.0,GradientBoostingClassifier
store_南砂店,0.0,GradientBoostingClassifier
store_南足柄店,0.0,GradientBoostingClassifier
store_厚木店,0.0,GradientBoostingClassifier
store_取手店,0.0,GradientBoostingClassifier
store_向島店,0.0,GradientBoostingClassifier
store_君津店,0.0,GradientBoostingClassifier
store_和光店,0.0,GradientBoostingClassifier
store_品川店,0.0,GradientBoostingClassifier
store_四街道店,0.0,GradientBoostingClassifier
store_国分寺店,0.0,GradientBoostingClassifier
store_国立店,0.0,GradientBoostingClassifier
store_坂戸店,0.0,GradientBoostingClassifier
store_墨田店,0.0,GradientBoostingClassifier
store_多摩店,0.0,GradientBoostingClassifier
store_大久保店,0.0,GradientBoostingClassifier
store_八潮店,0.0,GradientBoostingClassifier
store_入間店,0.0,GradientBoostingClassifier
store_大宮店,0.0,GradientBoostingClassifier
store_保土ケ谷店,0.0,GradientBoostingClassifier
store_あきる野店,0.0,GradientBoostingClassifier
store_さいたま南店,0.0,GradientBoostingClassifier
store_さいたま緑店,0.0,GradientBoostingClassifier
store_さいたま西店,0.0,GradientBoostingClassifier
store_つくば店,0.0,GradientBoostingClassifier
store_三浦店,0.0,GradientBoostingClassifier
store_三鷹店,0.0,GradientBoostingClassifier
store_上尾店,0.0,GradientBoostingClassifier
store_上野店,0.0,GradientBoostingClassifier
store_世田谷店,0.0,GradientBoostingClassifier
store_中店,0.0,GradientBoostingClassifier
store_中野店,0.0,GradientBoostingClassifier
store_久喜店,0.0,GradientBoostingClassifier
store_五反田店,0.0,GradientBoostingClassifier
store_代々木店,0.0,GradientBoostingClassifier
store_伊勢原店,0.0,GradientBoostingClassifier
store_伊勢崎店,0.0,GradientBoostingClassifier
store_佐倉店,0.0,GradientBoostingClassifier
store_佐野店,0.0,GradientBoostingClassifier
store_大井店,0.0,GradientBoostingClassifier
store_大森店,0.0,GradientBoostingClassifier
store_東村山店,0.0,GradientBoostingClassifier
store_志木店,0.0,GradientBoostingClassifier
store_愛甲店,0.0,GradientBoostingClassifier
store_成城店,0.0,GradientBoostingClassifier
store_成田店,0.0,GradientBoostingClassifier
store_我孫子店,0.0,GradientBoostingClassifier
store_戸塚店,0.0,GradientBoostingClassifier
store_戸田店,0.0,GradientBoostingClassifier
store_所沢店,0.0,GradientBoostingClassifier
store_新宿店,0.0,GradientBoostingClassifier
store_新座店,0.0,GradientBoostingClassifier
store_日立店,0.0,GradientBoostingClassifier
store_日野店,0.0,GradientBoostingClassifier
store_旭店,0.0,GradientBoostingClassifier
store_春日部店,0.0,GradientBoostingClassifier
store_昭島店,0.0,GradientBoostingClassifier
store_木更津店,0.0,GradientBoostingClassifier
store_本郷店,0.0,GradientBoostingClassifier
store_東中野店,0.0,GradientBoostingClassifier
store_東久留米店,0.0,GradientBoostingClassifier
store_東尾久店,0.0,GradientBoostingClassifier
store_恵比寿店,0.0,GradientBoostingClassifier
store_府中店,0.0,GradientBoostingClassifier
store_大泉店,0.0,GradientBoostingClassifier
store_幸店,0.0,GradientBoostingClassifier
store_大田店,0.0,GradientBoostingClassifier
store_太田店,0.0,GradientBoostingClassifier
store_宇都宮店,0.0,GradientBoostingClassifier
store_守谷店,0.0,GradientBoostingClassifier
